组态设备名称:设备0
驱动库文件路径:d:\mcgspro\program\drivers\plc\西门子\siemens_1200以太网\siemens_1200_ex.ui
驱动构件名称:Siemens_1200
驱动构件版本:7.101
通道号,变量名,变量类型,通道名称,读写类型,寄存器名称,数据类型,寄存器地址,地址偏移,通道采集频次,通道处理
0,SystemIsStarted,INTEGER,只读DB1:004.2,只读,V数据寄存器,通道的第02位,1.4,,1,
1,Mix_FT001_ClearTotal,INTEGER,读写DB10:000.3,读写,V数据寄存器,通道的第03位,10.0,,1,
2,Mix_FT001_HiProEN,INTEGER,读写DB10:000.4,读写,V数据寄存器,通道的第04位,10.0,,1,
3,Mix_FT001_LoProEN,INTEGER,读写DB10:000.5,读写,V数据寄存器,通道的第05位,10.0,,1,
4,Mix_FT001_HiALM,INTEGER,只读DB10:000.6,只读,V数据寄存器,通道的第06位,10.0,,1,
5,Mix_FT001_LoALM,INTEGER,只读DB10:000.7,只读,V数据寄存器,通道的第07位,10.0,,1,
6,Mix_FT001_MegFlowLost,INTEGER,只读DB10:001.1,只读,V数据寄存器,通道的第01位,10.1,,1,
7,Mix_FT001_MegFlowCode,SINGLE,只读DB10:WUB002,只读,V数据寄存器,16位 无符号二进制,10.2,,1,
8,Mix_FT001_TotalFlow,SINGLE,只读DB10:DF026,只读,V数据寄存器,32位 浮点数,10.26,,1,
9,Mix_FT001_MegFlow,SINGLE,只读DB10:DF034,只读,V数据寄存器,32位 浮点数,10.34,,1,
10,Mix_FT001_MegFlowRng,SINGLE,读写DB10:DF046,读写,V数据寄存器,32位 浮点数,10.46,,1,
11,Mix_FT001_Hi,SINGLE,读写DB10:DF054,读写,V数据寄存器,32位 浮点数,10.54,,1,
12,Mix_FT001_Lo,SINGLE,读写DB10:DF058,读写,V数据寄存器,32位 浮点数,10.58,,1,
13,Mix_PIC01_Pump_Enable,INTEGER,读写DB10:070.0,读写,V数据寄存器,通道的第00位,10.70,,1,
14,Mix_PIC01_Pump_ON_OFF,INTEGER,读写DB10:070.5,读写,V数据寄存器,通道的第05位,10.70,,1,
15,Mix_PIC01_Pump_Loc_Rem,INTEGER,只读DB10:071.0,只读,V数据寄存器,通道的第00位,10.71,,1,
16,Mix_PIC01_Pump_Pump,INTEGER,只读DB10:071.1,只读,V数据寄存器,通道的第01位,10.71,,1,
17,Mix_PIC01_Pump_Fan,INTEGER,只读DB10:071.2,只读,V数据寄存器,通道的第02位,10.71,,1,
18,Mix_PIC01_Pump_PumpFault,INTEGER,只读DB10:071.5,只读,V数据寄存器,通道的第05位,10.71,,1,
19,Mix_PIC01_Pump_Fan_OL,INTEGER,只读DB10:071.6,只读,V数据寄存器,通道的第06位,10.71,,1,
20,Mix_PIC01_Pump_Dry_GrindingALM,INTEGER,只读DB10:072.1,只读,V数据寄存器,通道的第01位,10.72,,1,
21,Mix_PIC01_PID_Auto,INTEGER,读写DB10:074.2,读写,V数据寄存器,通道的第02位,10.74,,1,
22,Mix_PIC01_PID_SpdUp,INTEGER,读写DB10:074.6,读写,V数据寄存器,通道的第06位,10.74,,1,
23,Mix_PIC01_PID_SpdDown,INTEGER,读写DB10:074.7,读写,V数据寄存器,通道的第07位,10.74,,1,
24,Mix_PIC01_PID_Tcy,SINGLE,读写DB10:WUB076,读写,V数据寄存器,16位 无符号二进制,10.76,,1,
25,Mix_PIC01_PID_StartDelay,SINGLE,读写DB10:WUB078,读写,V数据寄存器,16位 无符号二进制,10.78,,1,
26,Mix_PIC01_PID_UnlockDelay,SINGLE,读写DB10:WUB080,读写,V数据寄存器,16位 无符号二进制,10.80,,1,
27,Mix_PIC01_PID_DF,SINGLE,读写DB10:DF088,读写,V数据寄存器,32位 浮点数,10.88,,1,
28,Mix_PIC01_PID_Kp,SINGLE,读写DB10:DF092,读写,V数据寄存器,32位 浮点数,10.92,,1,
29,Mix_PIC01_PID_Ki,SINGLE,读写DB10:DF096,读写,V数据寄存器,32位 浮点数,10.96,,1,
30,Mix_PIC01_PID_AutoStep,SINGLE,读写DB10:DF100,读写,V数据寄存器,32位 浮点数,10.100,,1,
31,Mix_PIC01_PID_HandStep,SINGLE,读写DB10:DF104,读写,V数据寄存器,32位 浮点数,10.104,,1,
32,Mix_PIC01_PID_StartFRQ,SINGLE,读写DB10:DF108,读写,V数据寄存器,32位 浮点数,10.108,,1,
33,Mix_PIC01_PID_SetFRQ_Code,SINGLE,只读DB10:WUB130,只读,V数据寄存器,16位 无符号二进制,10.130,,1,
34,Mix_PIC01_PID_SetFRQ,SINGLE,只读DB10:DF134,只读,V数据寄存器,32位 浮点数,10.134,,1,
35,Mix_PIC01_PID_SetFRQ_Range,SINGLE,读写DB10:DF138,读写,V数据寄存器,32位 浮点数,10.138,,1,
36,Mix_PIC01_PID_SetFRQ_Hi,SINGLE,读写DB10:DF152,读写,V数据寄存器,32位 浮点数,10.152,,1,
37,Mix_PIC01_PID_SetFRQ_Lo,SINGLE,读写DB10:DF156,读写,V数据寄存器,32位 浮点数,10.156,,1,
38,Mix_PIC01_PID_ActFRQ_Code,SINGLE,只读DB10:WUB180,只读,V数据寄存器,16位 无符号二进制,10.180,,1,
39,Mix_PIC01_PID_ActFRQ,SINGLE,只读DB10:DF184,只读,V数据寄存器,32位 浮点数,10.184,,1,
40,Mix_PIC01_PID_ActFRQ_Range,SINGLE,读写DB10:DF188,读写,V数据寄存器,32位 浮点数,10.188,,1,
41,Mix_PIC01_Press_LoALM,INTEGER,只读DB10:228.0,只读,V数据寄存器,通道的第00位,10.228,,1,
42,Mix_PIC01_Press_HiALM,INTEGER,只读DB10:228.1,只读,V数据寄存器,通道的第01位,10.228,,1,
43,Mix_TT001_SetZero,INTEGER,读写DB10:230.1,读写,V数据寄存器,通道的第01位,10.230,,1,
44,Mix_TT001_SetAdj,INTEGER,读写DB10:230.2,读写,V数据寄存器,通道的第02位,10.230,,1,
45,Mix_TT001_HiALM,INTEGER,只读DB10:230.5,只读,V数据寄存器,通道的第05位,10.230,,1,
